#################################################################################################################
##Format                                                                                                         
# chan  c1_n2   n1      GEN                   PROCESS                              SAMPLE_NAME                   
#################################################################################################################
212272  -----   -----   UNKNOWN_GEN           TEMPORARY_ROBSAMPLE_REPLACE          Sample_ttbar
187406  -----   -----   gg2vv+Pythia8         AU2CT10_WpWmmunutaunu                    mc12_ggww_gg2vv
187407  -----   -----   gg2vv+Pythia8         AU2CT10_WpWmtaunuenu                     mc12_ggww_gg2vv
187408  -----   -----   gg2vv+Pythia8         AU2CT10_WpWmtaunumunu                    mc12_ggww_gg2vv
187409  -----   -----   gg2vv+Pythia8         AU2CT10_WpWmtaunutaunu                   mc12_ggww_gg2vv

147400  -----   -----   Powheg+Pythia8        AZNLO_Wplusenu                               mc12_Wlv_Powheg
147401  -----   -----   Powheg+Pythia8        AZNLO_Wplusmunu                              mc12_Wlv_Powheg
147402  -----   -----   Powheg+Pythia8        AZNLO_Wplustaunu                             mc12_Wlv_Powheg
147403  -----   -----   Powheg+Pythia8        AZNLO_Wminenu                                mc12_Wlv_Powheg
147404  -----   -----   Powheg+Pythia8        AZNLO_Wminmunu                               mc12_Wlv_Powheg
147405  -----   -----   Powheg+Pythia8        AZNLO_Wmintaunu                              mc12_Wlv_Powheg

147406  -----   -----   Powheg+Pythia8        AZNLO_Zee                                    mc12_Zll_Powheg
147407  -----   -----   Powheg+Pythia8        AZNLO_Zmumu                                  mc12_Zll_Powheg
147408  -----   -----   Powheg+Pythia8        AZNLO_Ztautau                                mc12_Zll_Powheg

147446  -----   -----   Powheg+Pythia8        AZNLO_Zee_DiLeptonFilter                     mc12_Zee_Powheg_2Lfilt

187038  -----   -----   Herwig                UEEE4_CTEQ6L1_Zee                            mc12_Zll_Herwig
187039  -----   -----   Herwig                UEEE4_CTEQ6L1_Zmumu                          mc12_Zll_Herwig

406004  400.0   100.0   MadGraphPythia8       C1N2_WZ_400_100_3lep                         mc15_c1n2_WZ_3lep
406005  600.0   300.0   MadGraphPythia8       C1N2_Slep_600_300                            mc15_c1n2_slep

