#################################################################################################################
## File for samples that are not used really anymore (but we want to keep the info around)
## Format                                                                                                         
# chan  c1_n2   n1      GEN                   PROCESS                              SAMPLE_NAME                   
#################################################################################################################

146863  -----   -----   Alpgen+Herwig         Zee+3p(10<M<60GeV)_2l_EF             NO_SUBGROUP
146864  -----   -----   Alpgen+Herwig         Zee+4p(10<M<60GeV)_2l_EF             NO_SUBGROUP
146870  -----   -----   Alpgen+Herwig         Zmumu+0p(10<M<60GeV)_2l_EF           NO_SUBGROUP
146871  -----   -----   Alpgen+Herwig         Zmumu+1p(10<M<60GeV)_2l_EF           NO_SUBGROUP
146872  -----   -----   Alpgen+Herwig         Zmumu+2p(10<M<60GeV)_2l_EF           NO_SUBGROUP
146873  -----   -----   Alpgen+Herwig         Zmumu+3p(10<M<60GeV)_2l_EF           NO_SUBGROUP
146874  -----   -----   Alpgen+Herwig         Zmumu+4p(10<M<60GeV)_2l_EF           NO_SUBGROUP
146880  -----   -----   Alpgen+Herwig         Ztautau+0p(10<M<60GeV)_2l_EF         NO_SUBGROUP
146881  -----   -----   Alpgen+Herwig         Ztautau+1p(10<M<60GeV)_2l_EF         NO_SUBGROUP
146882  -----   -----   Alpgen+Herwig         Ztautau+2p(10<M<60GeV)_2l_EF         NO_SUBGROUP
146883  -----   -----   Alpgen+Herwig         Ztautau+3p(10<M<60GeV)_2l_EF         NO_SUBGROUP

181310  -----   -----   Alpgen+Herwig         Zee+0p(10<M<60GeV)_2l_VBF_EF         NO_SUBGROUP
181311  -----   -----   Alpgen+Herwig         Zee+1p(10<M<60GeV)_2l_VBF_EF         NO_SUBGROUP
181312  -----   -----   Alpgen+Herwig         Zee+2p(10<M<60GeV)_2l_VBF_EF         NO_SUBGROUP
181313  -----   -----   Alpgen+Herwig         Zee+3p(10<M<60GeV)_2l_VBF_EF         NO_SUBGROUP
181314  -----   -----   Alpgen+Herwig         Zee+4p(10<M<60GeV)_2l_VBF_EF         NO_SUBGROUP
